PROJECT_ID	GEONAME_ID	precision_code	place_name	latitude	longitude	location_type_code	location_type_name	geoname_adm_code	geonames_adm_name	geonames_retrieval_time	project_source	source_url	source
P087347	1024694	1	Mocuba	-16.8375	36.98556	PPL	populated place	MZ|09	Mozambique|Zambézia	2012-01-19T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P087347	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2009/08/02/000333038_20090802231808/Rendered/PDF/496920PROP0P081P010REVISED030006009.pdf	PP
P074235	1053384	5	Toamasina	-18.1492	49.40234	PPLA	seat of a first-order administrative division	MG|7670857	Madagascar|Atsinanana	2012-06-22T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P074235	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2004/04/23/000012009_20040423101043/Rendered/PDF/273530MG.pdf	PAD
P074235	1055429	5	Toliara	-23.35	43.66667	PPLA	seat of a first-order administrative division	MG|7670913|8299677	Madagascar|Atsimo-Andrefana|Toliara I District	2012-07-31T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P074235	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2004/04/23/000012009_20040423101043/Rendered/PDF/273530MG.pdf	PAD
P074235	1062663	5	Mahajanga	-15.71667	46.31667	PPLA	seat of a first-order administrative division	MG|7670849	Madagascar|Boeny	2011-03-11T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P074235	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2004/04/23/000012009_20040423101043/Rendered/PDF/273530MG.pdf	PAD
P074235	1064890	5	Fianarantsoa	-21.45267	47.08569	PPLA	seat of a first-order administrative division	MG|7670905	Madagascar|Upper Matsiatra	2012-06-22T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P074235	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2004/04/23/000012009_20040423101043/Rendered/PDF/273530MG.pdf	PAD
P074086	1069129	5	Antsiranana	-12.2787	49.29171	PPLA	seat of a first-order administrative division	MG|7670842	Madagascar|Diana	2014-09-26T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P074086	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2008/10/24/000333037_20081024014831/Rendered/PDF/461110PAD0P0741LY10GEF1R20081002011.pdf	PAD
P074235	1069129	5	Antsiranana	-12.2787	49.29171	PPLA	seat of a first-order administrative division	MG|7670842	Madagascar|Diana	2014-09-26T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P074235	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2004/04/23/000012009_20040423101043/Rendered/PDF/273530MG.pdf	PAD
P074086	1070940	5	Antananarivo	-18.91368	47.53613	PPLC	capital of a political entity	MG|7670856	Madagascar|Analamanga	2014-03-22T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P074086	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2006/11/30/000011823_20061130170544/Rendered/PDF/E13640v60VC1R1sum10g1n1ral1EN.pdf	EA
P074235	1070940	5	Antananarivo	-18.91368	47.53613	PPLC	capital of a political entity	MG|7670856	Madagascar|Analamanga	2014-03-22T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P074235	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2004/04/23/000012009_20040423101043/Rendered/PDF/273530MG.pdf	PAD
P122235	1125426	3	Shighnan District	37.61667	71.45	ADM2	second-order administrative division	AF|01|1125426	Afghanistan|Badakhshan|Shighnan District	2013-04-27T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P122235	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/04/15/000386194_20110415002623/Rendered/PDF/584540PJPR0P121OFFICIAL0USE0ONLY191.pdf	project paper
P074841	1185252	1	Khagrachhari	23.10787	91.97006	PPL	populated place	BD|84	Bangladesh|Chittagong	2012-10-18T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P074841	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2010/06/20/000333038_20100620235335/Rendered/PDF/551220PROP0P071MU0Revised0Proc0Plan.pdf	Procurement Plan
P120836	1275540	3	Beed District	18.83333	75.75	ADM3	third-order administrative division	IN|16|8131498|1275540	India|Maharashtra|Aurangabad Division	2014-01-04T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P120836	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2010/09/09/000333038_20100909000603/Rendered/PDF/545320PAD0P1201Official0Use0Only191.pdf	PAD
P100668	148330	1	Pervoye Maya	39.74667	47.95889	PPL	populated place	AZ|24	Azerbaijan|İmişli	2013-01-10T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P100668	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2009/04/22/000104615_20090422165836/Rendered/PDF/Integrated0Saf1et010Appraisal0Stage.pdf ; http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2009/06/10/000333037_20090610003124/Rendered/PDF/481640PJPR0P10101Official0Use0Only1.pdf	ISDS ; PAD
P055120	149659	1	Tabora Airport	-5.08333	32.83333	AIRP	airport	TZ|17	Tanzania|Tabora	2011-06-06T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P055120	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2010/04/15/000262044_20100416100740/Rendered/PDF/Integrated0Saf1et010Appraisal0Stage.pdf ; http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2010/05/13/000020953_20100513144403/Rendered/PDF/531520PAD0P0551ly10IDA1R20101013311.pdf	ISDS ; PAD
P046043	1538258	3	Ohangaron Shahri	40.90639	69.63833	ADM2	second-order administrative division	UZ|14|1538258	Uzbekistan|Toshkent|Ohangaron Shahri	2012-01-19T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P046043	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2009/06/02/000333037_20090602010527/Rendered/PDF/ICR7110P0460431C0Disclosed051291091.pdf	ICR
P089479	1637366	3	Central Lombok Regency	-8.75	116.33333	ADM2	second-order administrative division	ID|17|1637366	Indonesia|West Nusa Tenggara|Central Lombok Regency	2014-01-05T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P089479	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2006/06/08/000090341_20060608101329/Rendered/PDF/35326.pdf	PAD
P118494	1652080	3	Muang Xiengkhor	20.81667	104.15	ADM2	second-order administrative division	LA|03|1652080	Laos|Houaphan|Muang Xiengkhor	2011-01-29T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P118494	http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2009/12/08/000262044_20091209152615/Rendered/PDF/AF0Integrated01et010Appraisal0Stage.pdf	ISDS
P094063	1694584	3	Pasig	14.58333	121.08333	ADM2	second-order administrative division	PH|NCR|L8	Philippines|Metro Manila|Pasig	2013-12-08T00:00:00+0000	http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P094063		TTL
